log_date,game_date,pitcher_name,team,opp_team,home_team,away_team,pred_k,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,game_pk,pitcher,actual_k,hit_book_side
2026-06-16,2026-06-15,Tobias Myers,NYM,CIN,CIN,NYM,2.956242114355012,0,,,,,,,,,,,,824505,668964,1,-2
2026-06-17,2026-06-16,Merrill Kelly,AZ,LAA,AZ,LAA,5.879516908740296,1,4.5,over,novig,120.0,0.4545454545454545,0.5993862153748611,0.1448,4.5,over,0.5993862153748611,0.056,825070,518876,4,0
2026-06-17,2026-06-16,Adrian Houser,SF,ATL,ATL,SF,4.499520537528764,1,3.5,over,novig,123.0,0.4484304932735426,0.573322832745122,0.1249,,,,,824912,605288,-1,-2
2026-06-17,2026-06-16,Davis Martin,CWS,NYY,NYY,CWS,6.503945645715438,1,5.5,over,novig,128.0,0.4385964912280701,0.5522493302889436,0.1137,5.5,over,0.5522493302889436,0.0089,823535,663436,4,0
2026-06-17,2026-06-16,Andre Pallante,STL,SD,STL,SD,5.3236847609453655,1,3.5,over,prophetx,-138.0,0.5798319327731093,0.6887166547784048,0.1089,4.0,over,0.5256068220320358,-0.0178,823045,669467,6,1
2026-06-17,2026-06-16,Mitch Keller,PIT,ATH,ATH,PIT,5.355336646485517,1,4.5,over,novig,131.0,0.4329004329004329,0.5412770422493054,0.1084,4.0,over,0.5412770422493054,-0.0021,824991,656605,7,1
2026-06-17,2026-06-16,Kumar Rocker,TEX,MIN,TEX,MIN,5.052744897242155,1,4.5,over,novig,147.0,0.4048582995951417,0.5049718371219812,0.1001,4.0,over,0.5049718371219812,-0.0384,822888,677958,4,0
2026-06-17,2026-06-16,Grant Holmes,ATL,SF,ATL,SF,5.574846476244092,1,4.5,over,prophetx,108.0,0.4807692307692308,0.580257740914263,0.0995,4.5,over,0.580257740914263,0.0369,824912,656550,-1,-2
2026-06-17,2026-06-16,Brady Singer,CIN,NYM,CIN,NYM,5.465210526515069,1,4.5,over,draftkings,105.0,0.4878048780487805,0.570641335268945,0.0828,4.5,over,0.570641335268945,0.0273,824504,663903,5,1
2026-06-17,2026-06-16,Justin Wrobleski,LAD,TB,LAD,TB,4.957730413532948,1,4.5,over,novig,140.0,0.4166666666666667,0.4980706736057239,0.0814,4.0,over,0.4980706736057239,-0.0453,823939,680736,5,1
2026-06-17,2026-06-16,Jack Perkins,ATH,PIT,ATH,PIT,5.569496070740549,1,4.5,over,betrivers,-107.0,0.5169082125603864,0.5946115578444,0.0777,4.5,over,0.5946115578444,0.0512,824991,678022,6,1
2026-06-17,2026-06-16,Jesús Luzardo,PHI,MIA,PHI,MIA,6.057155175931343,1,6.5,under,novig,115.0,0.4651162790697674,0.5386843980343853,0.0736,6.5,under,0.5386843980343853,-0.0047,823451,666200,9,0
2026-06-17,2026-06-16,Michael Wacha,KC,WSH,WSH,KC,4.817259894264828,1,4.5,over,novig,142.0,0.4132231404958678,0.4829450279786179,0.0697,4.0,over,0.4829450279786179,-0.0604,822723,608379,3,0
2026-06-17,2026-06-16,Reid Detmers,LAA,AZ,AZ,LAA,5.960475392077874,1,5.5,over,novig,133.0,0.4291845493562232,0.49809679520093,0.0689,5.0,over,0.49809679520093,-0.0453,825070,672282,3,0
2026-06-17,2026-06-16,Logan Gilbert,SEA,BAL,SEA,BAL,6.396229550700189,1,6.5,under,novig,128.0,0.4385964912280701,0.5012420682113972,0.0626,7.0,under,0.6342099714727374,0.0908,823128,669302,10,0
2026-06-17,2026-06-16,Zebby Matthews,MIN,TEX,TEX,MIN,5.097254181439401,1,4.5,over,novig,109.0,0.4784688995215311,0.5360436968419878,0.0576,4.5,over,0.5360436968419878,-0.0073,822888,805673,4,0
2026-06-17,2026-06-16,Framber Valdez,DET,HOU,HOU,DET,5.162866665186799,1,4.5,over,novig,100.0,0.5,0.5481818950872388,0.0482,4.5,over,0.5481818950872388,0.0048,824182,664285,6,1
2026-06-17,2026-06-16,Gerrit Cole,NYY,CWS,NYY,CWS,5.273140702123898,1,5.5,under,prophetx,107.0,0.4830917874396135,0.5307169973048301,0.0476,5.5,under,0.5307169973048301,-0.0127,823535,543037,6,0
2026-06-17,2026-06-16,Kodai Senga,NYM,CIN,CIN,NYM,4.440164940802763,1,5.5,under,betmgm,-155.0,0.6078431372549019,0.6533077472739097,0.0455,5.0,under,0.6533077472739097,0.1099,824504,673540,5,1
2026-06-17,2026-06-16,Hunter Brown,HOU,DET,HOU,DET,6.30429989637372,1,6.5,under,novig,103.0,0.4926108374384236,0.5277573087170188,0.0351,6.5,under,0.5277573087170188,-0.0156,824182,686613,7,0
2026-06-17,2026-06-16,Dylan Cease,TOR,BOS,BOS,TOR,7.4199931779093875,1,6.5,over,prophetx,-118.0,0.5412844036697247,0.5704636036851505,0.0292,,,,,824750,656302,7,1
2026-06-17,2026-06-16,Drew Rasmussen,TB,LAD,LAD,TB,4.96013303007134,1,5.5,under,prophetx,-129.0,0.5633187772925764,0.5883565683439027,0.025,5.0,under,0.5883565683439027,0.045,823939,656876,7,0
2026-06-17,2026-06-16,Ryan Feltner,COL,CHC,CHC,COL,4.073491969527407,1,3.5,over,prophetx,-115.0,0.5348837209302325,0.5568473555582889,0.022,3.5,over,0.5568473555582889,0.0135,824667,663372,7,1
2026-06-17,2026-06-16,Michael King,SD,STL,STL,SD,4.245625338534149,1,4.5,under,prophetx,-119.0,0.54337899543379,0.5576108551133072,0.0142,4.0,over,0.4423891448866928,-0.101,823045,650633,1,1
